PSMB7 PSMC6 1.0
PSMB7 PSMB2 1.0
PSMB7 PSMD1 1.0
PSMB7 PSMB3 1.0
PSMB7 PSMB6 1.0
PSMB7 PSMC3 1.0
PSMB7 PSMD3 1.0
PSMB7 PSMD12 1.0
PSMB7 PSMD13 1.0
PSMB7 PSMA5 1.0
PSMB7 PSMD14 1.0
PSMB7 PSMA7 1.0
PSMB7 PSMC1 1.0
PSMB7 PSMD2 1.0
PSMB7 PSMB5 1.0
PSMC6 PSMD8 1.0
PSMC6 PSMA3 1.0
PSMC6 PSMD10 1.0
PSMC6 PSMD7 1.0
PSMC6 PSMA2 1.0
PSMC6 PSMC1 1.0
PSMC6 PSMD3 1.0
PSMC6 PSMB6 1.0
PSMC6 PSMA5 1.0
PSMC6 PSMD1 1.0
PSMC6 PSMD2 1.0
PSMC6 PSMD12 1.0
PSMC6 PSMB5 1.0
PSMC6 PSMA7 1.0
PSMC6 PSMB2 1.0
PSMC6 PSMB8 1.0
PSMC6 PSMD14 1.0
PSMC6 PSMD13 1.0
PSMC6 PSMB3 1.0
PSMC6 PSMC3 1.0
PSMC6 PSMD9 1.0
PSMA2 PSMD8 1.0
PSMA2 PSMA3 1.0
PSMA2 PSMD7 1.0
PSMA2 PSMB2 1.0
PSMA2 PSMD1 1.0
PSMA2 PSMB3 1.0
PSMA2 PSMB6 1.0
PSMA2 PSMC3 1.0
PSMA2 PSMD3 1.0
PSMA2 PSMD12 1.0
PSMA2 PSMB10 1.0
PSMA2 PSMD13 1.0
PSMA2 PSMA5 1.0
PSMA2 PSMD14 1.0
PSMA2 PSMB8 1.0
PSMA2 PSMA7 1.0
PSMA2 PSMC1 1.0
PSMA2 PSMD2 1.0
PSMA2 PSMB5 1.0
PSMA3 PSMD8 1.0
PSMA3 PSMB2 1.0
PSMA3 PSMD1 1.0
PSMA3 PSMB3 1.0
PSMA3 PSMB6 1.0
PSMA3 PSMC3 1.0
PSMA3 PSMD3 1.0
PSMA3 PSMD12 1.0
PSMA3 PSMB10 1.0
PSMA3 PSMD13 1.0
PSMA3 PSMA5 1.0
PSMA3 PSMD7 1.0
PSMA3 PSMD14 1.0
PSMA3 PSMB8 1.0
PSMA3 PSMA7 1.0
PSMA3 PSMC1 1.0
PSMA3 PSMD2 1.0
PSMA3 PSMB5 1.0
PSMB2 PSMD8 1.0
PSMB2 PSMD7 1.0
PSMB2 PSMC1 1.0
PSMB2 PSMD3 1.0
PSMB2 PSMB6 1.0
PSMB2 PSMA5 1.0
PSMB2 PSMD1 1.0
PSMB2 PSMD2 1.0
PSMB2 PSMD12 1.0
PSMB2 PSMB10 1.0
PSMB2 PSMB5 1.0
PSMB2 PSMA7 1.0
PSMB2 PSMB3 1.0
PSMB2 PSMC3 1.0
PSMB2 PSMD13 1.0
PSMB2 PSMD14 1.0
PSMB2 PSMB8 1.0
PSMD1 PSMD8 1.0
PSMD1 PSMD7 1.0
PSMD1 PSMC1 1.0
PSMD1 PSMD3 1.0
PSMD1 PSMB6 1.0
